Advertiser App ID,Advertiser App Name,Creative URL,Networks,Duration,First Seen,Last Seen,Impression Share,Countries,Type,Format,Placements,Dimensions,Video Duration
5a72671d0dc0bc69efd2cad4,UNO!,https://x-ad-assets.s3.amazonaws.com/media_asset/51604ff0379e9c86/media,Facebook,39,2025-12-11,2026-01-19,14.09%,"AU,BR,CA,CH,CL,CO,CZ,DE,DK,EC,ES,FR,GB,GR,HK,IL,IN,IT,JP,KR,MX,MY,NG,NL,NO,PA,PH,PL,RO,SA,SE,TH,TR,UA,US,ZA",video,other,"ad_on_reel,feed,player,reel,story",1920x1080,19.933332
5a72671d0dc0bc69efd2cad4,UNO!,https://x-ad-assets.s3.amazonaws.com/media_asset/4a07b193053da031/media,Facebook,38,2025-12-15,2026-01-22,1.06%,"AU,BR,CA,CH,CL,CO,CZ,DE,DK,EC,ES,FR,GB,GR,HK,IL,IT,JP,KR,MX,MY,NG,NL,NO,PA,PH,PL,RO,SA,SE,TH,TR,UA,US,ZA",video,other,"ad_on_reel,feed,other",1080x1920,28.08
5a72671d0dc0bc69efd2cad4,UNO!,https://x-ad-assets.s3.amazonaws.com/media_asset/44f75cf35b86e5c1/media,Facebook,40,2025-12-13,2026-01-22,0.63%,"AU,BR,CA,CH,CL,CO,CZ,DE,DK,EC,ES,FR,GB,GR,HK,IL,IT,JP,KR,MX,MY,NL,NO,PA,PH,PL,RO,SA,SE,TH,TR,UA,US,ZA",video,other,"feed,player",1920x1080,26.04
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/d8e58138b5dcf7ab/media,TikTok,23,2025-12-27,2026-01-19,0.62%,US,video,other,other,1080x1920,33
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/1b47bfc92b8bd30d/media,Mintegral,201,2025-07-05,2026-01-22,0.44%,"AT,AU,BE,CA,CH,DE,FR,GB,IT,NL,NO,RO,SE,TR,US",video,other,other,214x120,6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/54a02f82f25d2a15/media,Youtube,27,2025-12-18,2026-01-14,0.43%,"AU,CA,DE,GB,US",video,other,"feed,player",1280x720,6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/0d7422a6aca7bd7b/media,Applovin,162,2025-08-13,2026-01-22,0.37%,"AE,AT,AU,BE,BR,CA,CH,CL,CO,DE,DK,ES,FR,GB,GR,HK,ID,IL,IT,JP,KR,MX,MY,NG,NL,NZ,PL,PT,SA,SE,SG,TH,TR,TW,UA,US,ZA",video,"rewarded,interstitial,other",other,720x1280,29.633333
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/4a3357c96e4bb82f/media,Mintegral,147,2025-08-28,2026-01-22,0.36%,"AT,AU,BE,CA,DE,GB,IT,MX,MY,NL,TR,US",video,other,other,1920x1080,33
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/17d97baa9fa7a7ba/media,Mintegral,68,2025-11-15,2026-01-22,0.30%,US,video,"rewarded,interstitial",other,1080x1920,43
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/760566617d230fc6/media,Admob,0,2026-01-14,2026-01-14,0.29%,US,video,rewarded,other,1280x720,60
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/7e4ced079e3e4cb9/media,Admob,40,2025-12-05,2026-01-14,0.29%,"AU,CA,DE,GB,US",video,"rewarded,interstitial,other",other,1280x720,39.7
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/7ad3fd3df563493c/media,Applovin,46,2025-12-07,2026-01-22,0.22%,"AE,AU,BE,BR,CA,CL,DE,DK,FR,GB,GR,HK,IL,IN,IT,JP,MX,MY,NG,NL,NZ,PL,PT,RO,SA,SE,SG,TH,TR,TW,US,ZA",video,"rewarded,interstitial,other",other,720x1280,60
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/4a1fc04c36a6835b/media,Applovin,120,2025-09-24,2026-01-22,0.22%,"AU,BE,BR,CA,CH,CL,DE,DK,FR,GB,GR,HK,IT,JP,MX,MY,NG,NL,NZ,PL,PT,SA,SE,SG,TH,TR,TW,UA,US,ZA",video,"rewarded,interstitial,other",other,720x1280,56.6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/26465dff35da735b/media,Youtube,12,2026-01-01,2026-01-13,0.20%,"CA,DE,US",video,other,player,1280x720,6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/245595836e01834b/media,Youtube,20,2025-12-23,2026-01-12,0.18%,"AU,CA,DE,GB,US",video,other,player,1280x720,6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/2236323686167682/media,Youtube,7,2025-12-24,2025-12-31,0.15%,"AU,CA,DE,GB,US",video,other,player,1280x720,6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/44feb9ea8dea655f/media,Youtube,12,2026-01-02,2026-01-14,0.15%,"AU,CA,DE,US",video,other,player,1280x720,6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/44f87599f2a29fe6/media,TikTok,16,2026-01-05,2026-01-21,0.13%,US,video,other,other,1080x1920,31.433332
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/83bc97f457af97c7/media,Youtube,13,2026-01-01,2026-01-14,0.12%,"AU,CA,DE,US",video,other,player,1280x720,6
605872171407050a5d717ae9,Skip-Bo: Solitaire Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/3cb8a6a0bb611ae3/media,Meta Audience Network,0,2026-01-03,2026-01-03,0.11%,CA,video,other,other,360x640,35.6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/a21157dfdafa4db7/media,Applovin,143,2025-09-01,2026-01-22,0.09%,"AU,BR,CA,CL,CZ,DE,DK,FR,GB,ID,IT,MY,NL,NZ,PL,PT,RO,SA,SE,TR,UA,US,ZA",video,"rewarded,interstitial,other",other,720x1280,35
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/261cdff62b4b97bb/media,Mintegral,200,2025-07-06,2026-01-22,0.09%,"AU,CA,DE,GB,IT,NL,SA,TR,US",video,"rewarded,interstitial,other",other,1080x1920,33
671dab307e876910873c1cdb,Sorry! World - Board Game,https://x-ad-assets.s3.amazonaws.com/media_asset/302cfbece50dc8df/media,Youtube,13,2025-12-20,2026-01-02,0.08%,CA,video,other,short,1280x720,30.966667
671dab307e876910873c1cdb,Sorry! World - Board Game,https://x-ad-assets.s3.amazonaws.com/media_asset/e4d25ae3fd59cbb4/media,Youtube,90,2025-10-04,2026-01-02,0.08%,CA,video,other,player,1280x720,27.166668
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/28eaa42c2c43f8ca/media,Mintegral,25,2025-12-27,2026-01-21,0.07%,US,video,"rewarded,interstitial,other",other,1080x1920,42
671dab307e876910873c1cdb,Sorry! World - Board Game,https://x-ad-assets.s3.amazonaws.com/media_asset/8e87bef51a5a4a5d/media,Youtube,91,2025-10-03,2026-01-02,0.07%,CA,video,other,player,1280x720,42.016666
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/052d36d2d039dd52/media,Youtube,4,2025-12-27,2025-12-31,0.06%,"AU,CA,GB,US",video,other,player,1280x720,6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/5dc182f9b9ca28aa/media,Mintegral,36,2025-12-16,2026-01-21,0.06%,"AU,US",video,"rewarded,interstitial",other,640x360,6
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/5f5b24455d11ac29/media,Admob,174,2025-07-24,2026-01-14,0.06%,"CA,GB,US",video,"rewarded,interstitial",other,1280x720,33
5d02f9399dc2fc3a26c5bdce,Phase 10: Casual Card Game,https://x-ad-assets.s3.amazonaws.com/media_asset/8b6414d434ed5382/media,Mintegral,47,2025-12-06,2026-01-22,0.06%,"AT,CA,DE,IT,NL,SA,US",video,"rewarded,interstitial,other",other,1080x1920,29.041668
